version,mean,count
3.7.3,1.79,39
3.6.5,1.96,25
5.8.0,1.9,21
5.33.0,2.45,20
5.36.0,2.0,20
5.38.0,1.37,19
5.23.0,3.71,17
5.37.0,2.0,17
5.25.0,3.38,16
5.27.0,2.2,15
